排名,代码,名称,东财行业,链条,筹码合成,全市场分位%,总市值亿,PE,距52周高点%,概念标签
229,301256.SZ,华融化学,化学原料,SEMI,-1.0957,12.4,48.1,77.65,-85.4,半导体概念
230,688757.SH,胜科纳米,专业服务,SEMI,-1.0917,12.5,123.9,417.68,-85.7,先进封装|半导体概念
231,300989.SZ,蕾奥规划,工程咨询服务Ⅱ,AI,-1.0771,12.8,29.9,-25.27,,算力概念
232,300684.SZ,中石科技,电子化学品Ⅱ,AI,-1.0710,12.9,252.2,91.39,18.6,CPO概念|液冷服务器
233,688080.SH,映翰通,通信设备,AI,-1.0701,12.9,26.5,71.3,84.7,AI智能体
234,688168.SH,安博通,软件开发,AI,-1.0674,13.0,37.6,77.64,,AI芯片|人工智能|算力概念
235,003031.SZ,中瓷电子,通信设备,AI+SEMI,-1.0660,13.0,607.1,75.37,50.8,光通信模块|半导体概念|第三代半导体
236,688517.SH,金冠电气,电网设备,SEMI,-1.0634,13.1,21.5,37.58,-44.3,半导体概念
237,300715.SZ,凯伦股份,装修建材,SEMI,-1.0593,13.1,53.2,91.69,-92.5,半导体概念
238,300190.SZ,维尔利,环境治理,AI,-1.0585,13.1,33.9,52.71,,液冷服务器
239,603052.SH,可川科技,消费电子,AI+SEMI,-1.0563,13.2,106.8,-188.76,,CPO概念|光通信模块|半导体概念
240,603893.SH,瑞芯微,半导体,AI+SEMI,-1.0537,13.3,738.8,43.0,223.3,AI芯片|人工智能|半导体概念|国产芯片
241,301252.SZ,同星科技,家电零部件Ⅱ,AI,-1.0482,13.3,55.8,54.43,-46.2,液冷服务器
242,002289.SZ,宇顺电子,光学光电子,AI,-1.0431,13.5,109.8,55.72,-88.0,算力概念
243,300232.SZ,洲明科技,光学光电子,AI+SEMI,-1.0395,13.5,57.7,89.48,,AI智能体|多模态AI|第三代半导体
244,601133.SH,柏诚股份,专业工程,SEMI,-1.0377,13.5,132.6,106.66,-63.5,半导体概念|存储芯片
245,300609.SZ,汇纳科技,IT服务Ⅱ,AI,-1.0370,13.6,30.0,-37.09,,人工智能|算力概念
246,300845.SZ,捷安高科,计算机设备,AI,-1.0331,13.6,25.1,-45.13,-83.9,AI应用|人工智能
247,688343.SH,云天励飞-U,IT服务Ⅱ,AI,-1.0288,13.7,198.0,-36.93,,AI智能体|AI芯片|人工智能|多模态AI|算力概念
248,688479.SH,友车科技,软件开发,AI,-1.0237,13.8,65.3,280.03,-81.1,人工智能
249,300447.SZ,全信股份,军工电子Ⅱ,SEMI,-1.0214,13.8,41.3,88.51,-91.3,国产芯片
250,002338.SZ,奥普光电,军工电子Ⅱ,SEMI,-1.0201,13.9,103.0,82.77,-59.2,国产芯片
251,301611.SZ,珂玛科技,半导体,SEMI,-1.0160,13.9,448.6,228.32,-50.6,半导体概念
252,688729.SH,屹唐股份,半导体,SEMI,-1.0073,14.1,688.6,108.04,-79.3,半导体概念
253,600104.SH,上汽集团,乘用车,SEMI,-1.0069,14.1,1171.4,9.68,-12.1,半导体概念
254,000066.SZ,中国长城,计算机设备,AI+SEMI,-1.0011,14.2,447.7,-133.87,-99.4,国产芯片|液冷服务器
255,600118.SH,中国卫星,航天装备Ⅱ,SEMI,-1.0001,14.2,702.4,1016.03,-91.5,国产芯片
256,002415.SZ,海康威视,计算机设备,AI+SEMI,-0.9952,14.3,3129.8,19.82,79.3,AI应用|人工智能|存储芯片
257,300323.SZ,华灿光电,光学光电子,SEMI,-0.9940,14.3,193.1,95.29,,半导体概念|国产芯片|第三代半导体
258,301510.SZ,固高科技,自动化设备,SEMI,-0.9937,14.4,103.7,117.55,-80.9,半导体概念
259,603938.SH,三孚股份,化学原料,SEMI,-0.9900,14.4,158.4,66.51,-57.9,半导体概念|存储芯片
260,300592.SZ,华凯易佰,互联网电商,AI+SEMI,-0.9894,14.5,57.5,20.1,-40.4,AIGC概念|人工智能|半导体概念|国产芯片
261,688219.SH,会通股份,塑料,AI,-0.9877,14.5,56.3,26.27,-64.2,液冷服务器
262,688558.SH,国盛智科,通用设备,SEMI,-0.9876,14.5,41.1,25.04,24.0,半导体概念
263,301629.SZ,矽电股份,半导体,SEMI,-0.9863,14.6,106.7,-859.47,-39.5,半导体概念
264,002335.SZ,科华数据,其他电源设备Ⅱ,AI,-0.9825,14.6,224.2,71.85,-43.4,液冷服务器
265,600460.SH,士兰微,半导体,SEMI,-0.9789,14.6,591.7,57.35,-61.0,半导体概念|国产芯片|第三代半导体
266,001212.SZ,中旗新材,装修建材,SEMI,-0.9724,14.7,65.9,-1523.06,,半导体概念
267,603306.SH,华懋科技,汽车零部件,AI,-0.9714,14.7,240.5,513.98,-56.6,CPO概念|光通信模块
268,002475.SZ,立讯精密,消费电子,AI,-0.9711,14.8,4156.8,28.4,122.5,CPO概念|光通信模块|液冷服务器
269,002367.SZ,康力电梯,专用设备,AI,-0.9691,14.8,42.7,28.98,-62.7,人工智能
270,603991.SH,领先股份,半导体,SEMI,-0.9625,14.9,202.0,99.07,-87.8,先进封装|半导体概念|存储芯片
271,300442.SZ,润泽科技,通信服务,AI,-0.9620,15.0,1024.8,44.0,217.0,液冷服务器|算力概念
272,000672.SZ,上峰材料,水泥,SEMI,-0.9615,15.0,136.2,4.99,81.1,国产芯片
273,300053.SZ,航宇微,半导体,AI+SEMI,-0.9548,15.1,80.0,-99.43,,AI芯片|人工智能|半导体概念|国产芯片|汽车芯片|算力概念
274,600076.SH,康欣新材,包装印刷,SEMI,-0.9505,15.2,41.8,-20.15,,半导体概念
275,601633.SH,长城汽车,乘用车,AI,-0.9502,15.2,1304.8,34.5,5.6,人工智能
276,301070.SZ,开勒股份,通用设备,AI,-0.9489,15.2,81.6,386.65,,AI智能体|人工智能|多模态AI|算力概念
277,300151.SZ,昌红科技,专用设备,SEMI,-0.9466,15.3,85.7,212.24,-89.9,半导体概念
278,601801.SH,皖新传媒,出版,AI,-0.9448,15.3,105.5,7.89,-61.7,人工智能
279,600764.SH,中国海防,航海装备Ⅱ,SEMI,-0.9411,15.3,123.9,119.65,-83.8,国产芯片
280,300936.SZ,中英科技,元件,SEMI,-0.9374,15.4,57.5,-804.14,-91.3,半导体概念
281,001267.SZ,汇绿生态,通信设备,AI,-0.9335,15.5,307.3,567.1,-90.1,CPO概念|光通信模块
282,003019.SZ,宸展光电,光学光电子,AI,-0.9293,15.6,43.8,39.55,-2.7,人工智能
283,300478.SZ,杭州高新,塑料,AI,-0.9227,15.7,36.2,-140.81,,算力概念
284,688096.SH,京源环保,环境治理,AI,-0.9212,15.8,19.4,-104.35,,算力概念
285,688055.SH,龙腾光电,光学光电子,SEMI,-0.9206,15.8,123.7,-44.36,,国产芯片
286,001269.SZ,欧晶科技,光伏设备,SEMI,-0.9156,15.9,36.5,-83.89,,半导体概念
287,688312.SH,燕麦科技,专用设备,AI,-0.9111,15.9,71.0,718.47,-7.0,CPO概念
288,002465.SZ,海格通信,军工电子Ⅱ,AI+SEMI,-0.9108,16.0,243.7,1045.54,,人工智能|国产芯片
289,000062.SZ,深圳华强,其他电子Ⅱ,SEMI,-0.9103,16.0,228.7,28.47,-46.6,半导体概念|第三代半导体
290,002446.SZ,盛路通信,军工电子Ⅱ,SEMI,-0.9057,16.1,76.3,76.32,-92.4,国产芯片
291,002963.SZ,豪尔赛,装修装饰Ⅱ,AI+SEMI,-0.8978,16.2,27.8,-49.05,,国产芯片|液冷服务器
292,002046.SZ,国机精工,通用设备,SEMI,-0.8824,16.5,256.3,-705.61,-69.6,半导体概念|国产芯片
293,688165.SH,埃夫特-U,自动化设备,AI,-0.8798,16.5,83.3,-212.88,,人工智能
294,600459.SH,贵研铂业,小金属,SEMI,-0.8793,16.5,175.8,25.14,-19.2,半导体概念
295,002723.SZ,小崧股份,照明设备Ⅱ,AI,-0.8708,16.7,24.5,-20.38,,液冷服务器
296,688227.SH,品高股份,IT服务Ⅱ,AI+SEMI,-0.8691,16.7,77.8,879.02,,AI智能体|人工智能|国产芯片|算力概念
297,605168.SH,三人行,广告营销,AI,-0.8611,16.8,100.1,227.62,-39.5,AIGC概念|AI应用|人工智能
298,002272.SZ,川润股份,通用设备,AI,-0.8569,16.9,74.7,-60.46,,液冷服务器
299,688536.SH,思瑞浦,半导体,AI+SEMI,-0.8557,16.9,416.6,67.68,200.6,光通信模块|半导体概念|国产芯片|汽车芯片
300,301123.SZ,奕东电子,消费电子,AI,-0.8553,16.9,172.9,455.44,,液冷服务器
301,600560.SH,金自天正,专用设备,AI,-0.8552,17.0,24.6,96.96,-77.4,人工智能
302,301135.SZ,瑞德智能,家电零部件Ⅱ,AI,-0.8446,17.1,21.6,-148.99,-86.9,人工智能
303,600487.SH,亨通光电,通信设备,AI,-0.8410,17.2,1490.4,33.71,30.9,CPO概念|光通信模块|液冷服务器
304,605066.SH,天正电气,电网设备,AI,-0.8349,17.4,36.3,53.63,-91.2,AI应用
305,300134.SZ,大富科技,通信设备,AI+SEMI,-0.8288,17.5,62.2,-29.33,,人工智能|国产芯片
306,603890.SH,春秋电子,消费电子,AI,-0.8287,17.5,88.2,36.33,-35.7,液冷服务器
307,688135.SH,利扬芯片,半导体,AI+SEMI,-0.8279,17.5,58.3,426.0,-99.2,人工智能|先进封装|半导体概念|国产芯片|存储芯片|汽车芯片|算力概念
308,600345.SH,长江通信,通信设备,AI,-0.8272,17.5,157.2,219.06,-23.9,人工智能
309,688579.SH,地纬智能,软件开发,AI,-0.8262,17.5,30.6,-55.84,-96.8,人工智能
310,001368.SZ,通达创智,文娱用品,AI,-0.8248,17.6,26.3,22.79,-11.0,人工智能
311,688716.SH,中研股份,塑料,SEMI,-0.8229,17.6,33.0,-171.51,-98.9,半导体概念
312,002158.SZ,汉钟精机,通用设备,SEMI,-0.8212,17.7,138.8,24.75,-8.0,半导体概念|国产芯片
313,301102.SZ,兆讯传媒,广告营销,AI,-0.8206,17.7,37.6,164.31,,AIGC概念|人工智能
314,300499.SZ,高澜股份,专用设备,AI,-0.8199,17.7,88.4,171.71,-89.8,液冷服务器
315,002049.SZ,紫光国微,半导体,AI+SEMI,-0.8153,17.8,514.3,32.24,83.0,AI芯片|人工智能|半导体概念|国产芯片|存储芯片|汽车芯片|算力概念
316,002171.SZ,楚江新材,工业金属,SEMI,-0.8120,17.9,158.6,28.28,-75.9,半导体概念|第三代半导体
317,300102.SZ,乾照光电,光学光电子,AI+SEMI,-0.7990,18.2,162.2,89.65,-85.2,CPO概念|光通信模块|半导体概念|国产芯片|第三代半导体
318,300249.SZ,依米康,计算机设备,AI,-0.7989,18.2,57.8,137.69,-92.0,人工智能|液冷服务器
319,002837.SZ,英维克,专用设备,AI,-0.7960,18.3,699.2,189.22,-61.6,液冷服务器|英伟达概念
320,000811.SZ,冰轮环境,通用设备,AI,-0.7905,18.4,410.9,66.06,-38.6,液冷服务器
321,603776.SH,永安行,摩托车及其他,SEMI,-0.7827,18.6,57.9,-283.53,,国产芯片|存储芯片
322,300735.SZ,光弘科技,消费电子,AI,-0.7812,18.7,158.4,143.09,-69.7,液冷服务器|算力概念
323,603266.SH,天龙股份,汽车零部件,SEMI,-0.7769,18.8,30.8,25.86,-44.5,国产芯片
324,688251.SH,井松智能,IT服务Ⅱ,AI,-0.7756,18.8,20.8,-29.78,-85.2,人工智能
325,300145.SZ,南方泵业,通用设备,AI,-0.7756,18.8,81.4,21.77,-86.7,液冷服务器
326,603017.SH,中衡设计,工程咨询服务Ⅱ,AI,-0.7736,18.8,25.9,30.94,-82.4,多模态AI
327,300277.SZ,汽轮科技,IT服务Ⅱ,AI,-0.7729,18.9,176.8,52.08,-97.0,人工智能
328,002438.SZ,江苏神通,通用设备,AI,-0.7688,19.0,68.5,22.74,-43.7,液冷服务器
329,300852.SZ,四会富仕,元件,AI,-0.7609,19.1,71.9,40.95,-12.4,CPO概念|光通信模块
330,300316.SZ,晶盛机电,光伏设备,SEMI,-0.7595,19.2,563.0,121.2,-63.5,半导体概念|国产芯片|存储芯片|第三代半导体
331,688350.SH,富淼科技,化学制品,SEMI,-0.7578,19.2,42.1,55.21,-79.9,半导体概念
332,688175.SH,高凌信息,军工电子Ⅱ,AI,-0.7530,19.2,31.8,201.3,,人工智能
333,688273.SH,麦澜德,医疗器械,AI,-0.7494,19.4,29.1,31.69,-14.3,AI智能体|人工智能
334,300903.SZ,科翔股份,元件,SEMI,-0.7411,19.5,338.7,-162.85,,半导体概念|存储芯片|第三代半导体
335,600271.SH,航天信息,IT服务Ⅱ,AI+SEMI,-0.7326,19.6,123.4,-11.75,,AI应用|人工智能|国产芯片
336,603083.SH,剑桥科技,通信设备,AI,-0.7316,19.7,644.4,98.31,27.7,CPO概念|光通信模块|液冷服务器
337,300711.SZ,广哈通信,通信设备,AI,-0.7315,19.7,53.8,229.8,-70.4,AI应用|人工智能
338,688139.SH,海尔生物,医疗器械,AI,-0.7253,19.8,91.8,31.13,-19.3,AI智能体
339,688051.SH,佳华科技,IT服务Ⅱ,AI,-0.7251,19.8,18.7,-23.09,,人工智能
340,601949.SH,中国出版,出版,AI,-0.7242,19.8,97.1,-24.18,-69.8,AI语料
341,603316.SH,诚邦股份,半导体,SEMI,-0.7241,19.9,37.0,39.42,,半导体概念|国产芯片|存储芯片
342,600183.SH,生益科技,元件,SEMI,-0.7211,19.9,3067.8,46.67,113.9,存储芯片
343,300660.SZ,江苏雷利,电机Ⅱ,AI,-0.7206,20.0,136.6,51.97,-53.4,液冷服务器
344,301248.SZ,杰创智能,IT服务Ⅱ,AI,-0.7203,20.0,91.4,-160.7,,人工智能|液冷服务器|算力概念
345,688368.SH,晶丰明源,半导体,AI+SEMI,-0.7102,20.3,248.6,169.1,-61.2,半导体概念|国产芯片|英伟达概念
346,688388.SH,嘉元科技,电池,AI,-0.7078,20.4,196.5,25.71,-76.8,光通信模块
347,605319.SH,无锡振华,汽车零部件,SEMI,-0.7075,20.4,85.5,20.82,34.0,半导体概念|国产芯片
348,688292.SH,浩瀚深度,计算机设备,AI,-0.7036,20.5,26.9,-24.12,,AIGC概念|AI智能体|人工智能|多模态AI
349,688588.SH,凌志软件,软件开发,AI,-0.7019,20.5,36.4,-458.86,-90.2,AIGC概念|AI智能体|人工智能
350,300691.SZ,联合光电,计算机设备,AI,-0.7007,20.5,38.2,-247.01,-89.1,人工智能
351,002886.SZ,沃特股份,塑料,AI+SEMI,-0.7001,20.5,53.9,98.27,-72.1,半导体概念|英伟达概念
352,300700.SZ,岱勒新材,通用设备,SEMI,-0.6989,20.6,73.8,464.42,,半导体概念|第三代半导体
353,688518.SH,联赢激光,自动化设备,SEMI,-0.6984,20.6,68.7,37.37,-51.3,半导体概念
354,603610.SH,麒盛科技,家居用品,SEMI,-0.6969,20.7,52.8,39.15,-73.3,国产芯片
355,000936.SZ,华西股份,化学纤维,AI,-0.6957,20.7,48.3,188.77,-98.0,人工智能
356,300586.SZ,美联新材,塑料,SEMI,-0.6940,20.7,63.8,1120.55,,半导体概念
357,002214.SZ,大立科技,军工电子Ⅱ,AI+SEMI,-0.6926,20.8,89.7,-32.83,,人工智能|国产芯片
358,301153.SZ,中科江南,软件开发,AI,-0.6923,20.8,60.0,-59.87,-65.8,AI应用|人工智能
359,002845.SZ,同兴达,光学光电子,AI+SEMI,-0.6867,21.0,42.3,201.69,-75.2,人工智能|先进封装|半导体概念
360,600703.SH,三安光电,光学光电子,AI+SEMI,-0.6854,21.0,642.6,238.02,,CPO概念|光通信模块|半导体概念|国产芯片|汽车芯片|第三代半导体
361,688623.SH,双元科技,自动化设备,SEMI,-0.6851,21.0,49.4,56.48,-18.5,国产芯片
362,000410.SZ,沈阳机床,通用设备,AI,-0.6703,21.4,133.5,-98.65,,人工智能
363,002025.SZ,航天电器,军工电子Ⅱ,AI,-0.6684,21.4,269.6,129.02,-58.5,CPO概念|光通信模块|液冷服务器
364,688229.SH,博睿数据,IT服务Ⅱ,AI,-0.6623,21.6,28.3,-60.69,,AI应用|人工智能
365,002917.SZ,金奥博,化学制品,AI,-0.6622,21.6,35.3,23.01,-49.0,人工智能
366,603948.SH,建业股份,化学制品,SEMI,-0.6548,21.7,33.0,15.59,43.6,半导体概念
367,002169.SZ,智光电气,电网设备,SEMI,-0.6529,21.8,95.7,109.19,-70.0,半导体概念|国产芯片|第三代半导体
368,002072.SZ,凯瑞德,贸易Ⅱ,SEMI,-0.6510,21.8,26.8,-163.99,,国产芯片|存储芯片
369,300252.SZ,金信诺,军工电子Ⅱ,AI+SEMI,-0.6484,21.9,78.2,92.54,-95.3,人工智能|光通信模块|国产芯片|算力概念
370,301489.SZ,思泉新材,电子化学品Ⅱ,AI,-0.6453,21.9,132.6,124.95,-40.6,液冷服务器
371,600378.SH,昊华科技,化学制品,AI,-0.6438,22.0,570.2,46.28,21.5,液冷服务器
372,300547.SZ,川环科技,汽车零部件,AI,-0.6269,22.3,54.3,34.39,-9.1,液冷服务器
373,688603.SH,天承科技,电子化学品Ⅱ,SEMI,-0.6234,22.5,130.2,108.71,-21.7,先进封装|半导体概念
374,002152.SZ,广电运通,计算机设备,AI,-0.6229,22.5,236.2,26.09,-65.9,AI应用|人工智能
375,688038.SH,中科通达,软件开发,AI,-0.6209,22.6,20.8,-224.43,,AI应用|人工智能|多模态AI
376,600206.SH,有研新材,半导体,SEMI,-0.6169,22.6,444.6,121.26,-62.4,半导体概念|国产芯片|存储芯片
377,688232.SH,新点软件,软件开发,AI,-0.6148,22.7,57.7,-59.99,-83.7,AI应用
378,300041.SZ,回天新材,化学制品,SEMI,-0.6128,22.7,59.3,17.77,-56.2,半导体概念
379,301093.SZ,华兰股份,医疗器械,AI,-0.6108,22.7,167.2,6855.6,-80.1,人工智能
380,000988.SZ,华工科技,自动化设备,AI+SEMI,-0.6066,22.9,1039.2,40.69,69.0,CPO概念|光通信模块|半导体概念
381,002050.SZ,三花智控,家电零部件Ⅱ,AI,-0.6030,23.0,1502.7,40.5,-2.9,液冷服务器
382,688216.SH,气派科技,半导体,SEMI,-0.6028,23.0,34.2,-229.52,,先进封装|半导体概念|国产芯片|存储芯片|第三代半导体
383,301031.SZ,中熔电气,其他电子Ⅱ,SEMI,-0.6020,23.0,133.4,29.29,213.5,国产芯片
384,300861.SZ,美畅股份,通用设备,SEMI,-0.5968,23.2,111.7,14.38,-38.7,半导体概念
385,600831.SH,广电网络,电视广播Ⅱ,AI,-0.5905,23.5,23.4,-3.11,,算力概念
386,688372.SH,伟测科技,半导体,AI+SEMI,-0.5889,23.5,206.5,72.87,106.0,半导体概念|汽车芯片|算力概念
387,603160.SH,汇顶科技,半导体,AI+SEMI,-0.5881,23.5,220.4,43.81,41.2,人工智能|半导体概念|国产芯片|汽车芯片
388,600248.SH,陕建股份,房屋建设Ⅱ,AI,-0.5847,23.6,106.6,14.93,,算力概念
389,600050.SH,中国联通,通信服务,AI,-0.5801,23.7,1328.7,16.05,-77.9,算力概念
390,603258.SH,电魂网络,游戏Ⅱ,AI,-0.5799,23.7,30.5,-33.78,,AIGC概念
391,688375.SH,国博电子,军工电子Ⅱ,SEMI,-0.5798,23.8,461.4,235.05,-32.2,国产芯片|第三代半导体
392,603158.SH,腾龙股份,汽车零部件,AI,-0.5793,23.8,49.1,23.13,-87.8,液冷服务器
393,002238.SZ,天威视讯,电视广播Ⅱ,AI,-0.5779,23.8,51.2,-59.43,,人工智能
394,688252.SH,天德钰,半导体,SEMI,-0.5688,23.9,79.2,28.69,-46.4,半导体概念|国产芯片
395,300456.SZ,赛微电子,半导体,SEMI,-0.5632,24.1,225.9,-115.02,94.1,先进封装|半导体概念|国产芯片|第三代半导体
396,000551.SZ,创元科技,环保设备Ⅱ,SEMI,-0.5612,24.1,59.4,16.53,-35.3,半导体概念
397,002792.SZ,通宇通讯,通信设备,AI,-0.5601,24.1,158.7,-306.96,-96.8,人工智能|光通信模块
398,000967.SZ,盈峰环境,环保设备Ⅱ,AI,-0.5584,24.2,275.8,32.17,-82.6,算力概念
399,603929.SH,亚翔集成,专业工程,SEMI,-0.5583,24.2,353.8,36.07,472.6,半导体概念|国产芯片
400,603007.SH,顺景科技,汽车零部件,SEMI,-0.5566,24.3,40.0,-164.24,,半导体概念
401,002384.SZ,东山精密,元件,AI,-0.5561,24.3,3546.0,59.96,95.7,CPO概念|光通信模块
402,002401.SZ,中远海科,IT服务Ⅱ,AI,-0.5519,24.5,45.2,154.79,-90.5,人工智能
403,301379.SZ,天山电子,光学光电子,AI+SEMI,-0.5517,24.5,59.7,75.69,-54.7,人工智能|存储芯片
404,001298.SZ,好上好,其他电子Ⅱ,SEMI,-0.5516,24.6,75.0,31.76,-72.8,国产芯片|存储芯片
405,002685.SZ,华东重机,工程机械,SEMI,-0.5511,24.6,54.2,43.67,-89.8,半导体概念|国产芯片
406,301522.SZ,上大股份,金属新材料,SEMI,-0.5485,24.7,83.7,68.07,-72.5,半导体概念
407,003026.SZ,中晶科技,半导体,SEMI,-0.5458,24.7,54.9,99.11,-73.4,半导体概念|国产芯片
408,002416.SZ,爱施德,专业连锁Ⅱ,AI,-0.5430,24.8,115.6,124.43,-83.9,算力概念
409,600596.SH,新安股份,农化制品,AI,-0.5423,24.8,140.1,27.55,-75.4,液冷服务器
410,603281.SH,江瀚新材,化学制品,SEMI,-0.5418,24.8,97.9,27.49,-25.6,半导体概念
411,688653.SH,康希通信,半导体,SEMI,-0.5404,24.9,65.0,333.49,,半导体概念|国产芯片
412,300489.SZ,光智科技,光学光电子,SEMI,-0.5397,24.9,281.3,457.18,,第三代半导体
413,603075.SH,热威股份,家电零部件Ⅱ,SEMI,-0.5389,25.0,76.6,23.44,-19.0,半导体概念
414,300306.SZ,远方信息,通用设备,AI,-0.5375,25.0,27.1,41.64,-73.9,人工智能
415,300303.SZ,聚飞光电,光学光电子,AI+SEMI,-0.5372,25.1,97.3,47.62,-79.9,光通信模块|半导体概念|国产芯片
416,603019.SH,中科曙光,计算机设备,AI+SEMI,-0.5369,25.1,1202.4,61.49,65.8,人工智能|国产芯片|液冷服务器|算力概念
417,300341.SZ,麦克奥迪,电网设备,AI,-0.5319,25.2,66.8,30.24,-63.2,人工智能
418,600480.SH,凌云股份,汽车零部件,AI,-0.5304,25.2,100.6,16.53,-42.2,液冷服务器
419,603368.SH,柳药集团,医药商业,AI,-0.5158,25.7,62.5,6.96,65.3,人工智能
420,688584.SH,上海合晶,半导体,SEMI,-0.5140,25.7,199.4,397.1,-82.3,半导体概念
421,688559.SH,海目星,自动化设备,AI+SEMI,-0.5109,25.8,137.4,136.24,,先进封装|液冷服务器
422,600110.SH,诺德股份,电池,AI,-0.5057,26.0,192.1,93.33,,英伟达概念
423,600308.SH,华泰股份,造纸,AI,-0.5011,26.1,48.1,127.27,,AI语料|人工智能
424,301338.SZ,凯格精机,专用设备,AI+SEMI,-0.4996,26.1,145.2,52.84,72.5,光通信模块|半导体概念
425,603209.SH,兴通股份,航运港口,AI,-0.4977,26.2,47.6,11.17,6.9,人工智能
426,688425.SH,铁建重工,工程机械,AI,-0.4974,26.2,214.4,21.24,-76.5,AI智能体
427,301297.SZ,富乐德,半导体,SEMI,-0.4965,26.3,249.3,60.29,-28.7,半导体概念
428,001314.SZ,亿道信息,消费电子,AI,-0.4952,26.3,74.9,19.12,75.1,人工智能
429,688719.SH,爱科赛博,其他电源设备Ⅱ,AI,-0.4939,26.3,56.7,-80.76,,液冷服务器
430,000938.SZ,紫光股份,IT服务Ⅱ,AI+SEMI,-0.4840,26.6,986.4,31.3,-25.7,CPO概念|人工智能|国产芯片|液冷服务器|算力概念|英伟达概念
431,600360.SH,华微电子,半导体,SEMI,-0.4822,26.7,100.4,43.37,-81.7,半导体概念|国产芯片|第三代半导体
432,000927.SZ,中国铁物,轨交设备Ⅱ,AI,-0.4803,26.8,145.8,35.96,-91.7,AI应用
433,000541.SZ,佛山照明,照明设备Ⅱ,SEMI,-0.4794,26.8,75.4,72.11,-88.5,半导体概念|汽车芯片
434,300992.SZ,泰福泵业,通用设备,AI,-0.4785,26.8,22.9,-63.1,,液冷服务器
435,300410.SZ,正业科技,电池,SEMI,-0.4785,26.9,28.6,55.78,-89.1,半导体概念
436,601138.SH,工业富联,消费电子,AI,-0.4766,26.9,11985.8,25.24,136.4,CPO概念|人工智能|液冷服务器|算力概念|英伟达概念
437,002364.SZ,中恒电气,其他电源设备Ⅱ,AI+SEMI,-0.4763,26.9,211.3,211.88,-76.8,人工智能|第三代半导体|算力概念
438,603058.SH,永吉股份,包装印刷,SEMI,-0.4738,27.1,36.6,22.32,-74.1,半导体概念
439,002106.SZ,莱宝高科,光学光电子,SEMI,-0.4706,27.2,71.7,51.38,-71.0,先进封装
440,002119.SZ,康强电子,半导体,SEMI,-0.4668,27.3,86.5,68.28,-67.9,半导体概念|存储芯片
441,688432.SH,有研硅,半导体,SEMI,-0.4660,27.4,603.8,227.28,-81.1,半导体概念|存储芯片
442,603353.SH,和顺石油,炼化及贸易,SEMI,-0.4656,27.4,51.4,58.26,,先进封装|半导体概念|国产芯片|存储芯片
443,300620.SZ,光库科技,通信设备,AI+SEMI,-0.4607,27.6,745.0,251.02,9.6,CPO概念|光通信模块|国产芯片
444,688788.SH,科思科技,军工电子Ⅱ,AI+SEMI,-0.4593,27.7,67.1,-19.05,,人工智能|国产芯片
445,002243.SZ,力合科创,化妆品,SEMI,-0.4555,27.8,87.8,34.28,-84.6,半导体概念|国产芯片
446,300670.SZ,大烨智能,电网设备,SEMI,-0.4541,27.8,20.5,145.32,,半导体概念
447,688439.SH,振华风光,军工电子Ⅱ,SEMI,-0.4473,27.9,76.2,-141.93,-31.7,先进封装|半导体概念|国产芯片|存储芯片
448,603236.SH,移远通信,通信设备,AI,-0.4472,27.9,231.0,19.18,138.9,英伟达概念
449,300397.SZ,天和防务,军工电子Ⅱ,AI+SEMI,-0.4465,28.0,58.6,137.83,,人工智能|国产芯片
450,301581.SZ,黄山谷捷,汽车零部件,SEMI,-0.4432,28.0,29.8,212.8,-69.7,半导体概念
451,603687.SH,大胜达,包装印刷,AI+SEMI,-0.4426,28.0,72.1,81.64,-87.4,AIGC概念|人工智能|国产芯片
452,600584.SH,长电科技,半导体,AI+SEMI,-0.4416,28.1,1320.6,78.17,8.4,CPO概念|先进封装|半导体概念|国产芯片|存储芯片|汽车芯片
453,002183.SZ,怡 亚 通,贸易Ⅱ,AI+SEMI,-0.4402,28.1,113.5,168.74,,半导体概念|国产芯片|存储芯片|算力概念
454,605589.SH,圣泉集团,塑料,SEMI,-0.4381,28.1,317.6,35.49,12.6,先进封装|存储芯片
455,002871.SZ,伟隆股份,通用设备,AI,-0.4378,28.2,41.3,45.8,-47.9,人工智能|液冷服务器
456,301330.SZ,熵基科技,计算机设备,AI,-0.4373,28.2,55.4,109.57,-15.9,AIGC概念|AI智能体|人工智能|多模态AI
457,688358.SH,祥生医疗,医疗器械,AI,-0.4337,28.3,31.4,17.08,7.8,AI应用|人工智能
458,300730.SZ,科创信息,软件开发,AI,-0.4308,28.4,26.9,-53.08,,人工智能
459,300590.SZ,移为通信,通信设备,AI+SEMI,-0.4299,28.4,49.6,23.86,-74.8,AI智能体|人工智能|国产芯片
460,002611.SZ,东方精工,专用设备,AI,-0.4265,28.5,176.0,2.29,242.7,AI智能体|人工智能|多模态AI
461,300331.SZ,苏大维格,光学光电子,SEMI,-0.4254,28.5,125.7,126.33,-99.8,半导体概念
462,301311.SZ,昆船智能,通用设备,AI,-0.4249,28.5,32.2,-31.71,,人工智能
463,002949.SZ,华阳国际,工程咨询服务Ⅱ,AI,-0.4243,28.5,22.2,124.12,-52.8,人工智能
464,002079.SZ,苏州固锝,光伏设备,SEMI,-0.4210,28.6,85.2,25.07,-86.6,先进封装|半导体概念|国产芯片|第三代半导体
